,,,Stand,Hit,Optimal,Optimal Return
7,8,False,"tensor(-0.6038, grad_fn=<SelectBackward0>)","tensor(-0.2075, grad_fn=<SelectBackward0>)",Hit,-0.20752841234207153
7,9,True,"tensor(-0.8438, grad_fn=<SelectBackward0>)","tensor(-0.4612, grad_fn=<SelectBackward0>)",Hit,-0.46118229627609253
7,9,False,"tensor(-0.6859, grad_fn=<SelectBackward0>)","tensor(-0.3293, grad_fn=<SelectBackward0>)",Hit,-0.3292704224586487
7,10,True,"tensor(-0.9156, grad_fn=<SelectBackward0>)","tensor(-0.5597, grad_fn=<SelectBackward0>)",Hit,-0.5596637725830078
7,10,False,"tensor(-0.7606, grad_fn=<SelectBackward0>)","tensor(-0.4236, grad_fn=<SelectBackward0>)",Hit,-0.42356398701667786
8,1,True,"tensor(-1.1456, grad_fn=<SelectBackward0>)","tensor(-0.3946, grad_fn=<SelectBackward0>)",Hit,-0.3946349620819092
8,1,False,"tensor(-1.0161, grad_fn=<SelectBackward0>)","tensor(-0.4017, grad_fn=<SelectBackward0>)",Hit,-0.4017457962036133
8,2,True,"tensor(-0.8007, grad_fn=<SelectBackward0>)","tensor(-0.1905, grad_fn=<SelectBackward0>)",Hit,-0.19054630398750305
8,2,False,"tensor(-0.5803, grad_fn=<SelectBackward0>)","tensor(-0.1513, grad_fn=<SelectBackward0>)",Hit,-0.1512916386127472
8,3,True,"tensor(-0.6532, grad_fn=<SelectBackward0>)","tensor(-0.1078, grad_fn=<SelectBackward0>)",Hit,-0.10783232003450394
8,3,False,"tensor(-0.3853, grad_fn=<SelectBackward0>)","tensor(-0.0793, grad_fn=<SelectBackward0>)",Hit,-0.07934031635522842
8,4,True,"tensor(-0.5611, grad_fn=<SelectBackward0>)","tensor(-0.0338, grad_fn=<SelectBackward0>)",Hit,-0.033795543015003204
8,4,False,"tensor(-0.3891, grad_fn=<SelectBackward0>)","tensor(-0.0429, grad_fn=<SelectBackward0>)",Hit,-0.04291713982820511
8,5,True,"tensor(-0.6043, grad_fn=<SelectBackward0>)","tensor(-0.0094, grad_fn=<SelectBackward0>)",Hit,-0.009424515068531036
8,5,False,"tensor(-0.4364, grad_fn=<SelectBackward0>)","tensor(-0.0111, grad_fn=<SelectBackward0>)",Hit,-0.01112426072359085
8,6,True,"tensor(-0.6163, grad_fn=<SelectBackward0>)","tensor(-0.0015, grad_fn=<SelectBackward0>)",Hit,-0.00147903710603714
8,6,False,"tensor(-0.4407, grad_fn=<SelectBackward0>)","tensor(0.0261, grad_fn=<SelectBackward0>)",Hit,0.026061825454235077
8,7,True,"tensor(-0.6539, grad_fn=<SelectBackward0>)","tensor(-0.0389, grad_fn=<SelectBackward0>)",Hit,-0.03893805295228958
8,7,False,"tensor(-0.4713, grad_fn=<SelectBackward0>)","tensor(0.0245, grad_fn=<SelectBackward0>)",Hit,0.024544022977352142
8,8,True,"tensor(-0.7330, grad_fn=<SelectBackward0>)","tensor(-0.1671, grad_fn=<SelectBackward0>)",Hit,-0.16706138849258423
8,8,False,"tensor(-0.5761, grad_fn=<SelectBackward0>)","tensor(-0.0711, grad_fn=<SelectBackward0>)",Hit,-0.07111556082963943
8,9,True,"tensor(-0.8215, grad_fn=<SelectBackward0>)","tensor(-0.3521, grad_fn=<SelectBackward0>)",Hit,-0.352140337228775
8,9,False,"tensor(-0.6695, grad_fn=<SelectBackward0>)","tensor(-0.2345, grad_fn=<SelectBackward0>)",Hit,-0.23451107740402222
